Instructor,Course,Semester,Program,Q1,Q1-P,Q1-U,Q2,Q2-P,Q2-U,Q3,Q3-P,Q3-U,Q4,Q4-P,Q4-U,Q5,Q5-P,Q5-U,Q6,Q6-P,Q6-U,Q7,Q7-P,Q7-U,Q8,Q8-P,Q8-U,Q9,Q9-P,Q9-U,Q10,Q10-P,Q10-U,Q11,Q11-P,Q11-U,Q12
"Abraham, Sarah A",C S354R,Fall 2017,Computer Science,4.7,4.3,4.5,4.7,4.4,4.6,4.6,4.2,4.3,4.8,4.3,4.4,4.8,4.4,4.5,4.3,4.2,4.3,4.7,4.3,4.5,4.1,4.0,4.2,4.8,4.3,4.4,4.6,4.2,4.3,4.4,4.1,4.1,About right
"Abraham, Sarah A",C S354R,Fall 2018,Computer Science,4.6,4.5,4.5,4.7,4.6,4.6,4.6,4.3,4.3,4.6,4.4,4.5,4.7,4.5,4.5,4.7,4.3,4.3,4.7,4.4,4.5,4.2,4.1,4.2,4.6,4.4,4.4,4.5,4.3,4.3,4.4,4.1,4.1,About right
"Toprac, Paul K",C S354S,Fall 2015,Computer Science,4.2,4.3,4.4,4.3,4.4,4.5,3.8,4.2,4.3,4.6,4.3,4.4,4.3,4.4,4.5,3.9,4.1,4.3,4.6,4.4,4.4,4.1,4.0,4.2,4.7,4.3,4.3,4.2,4.2,4.3,4.3,4.0,4.0,Somewhat high
"Toprac, Paul K",C S354S,Fall 2016,Computer Science,4.8,4.4,4.4,4.6,4.5,4.6,4.3,4.3,4.3,4.9,4.3,4.4,4.7,4.4,4.5,4.6,4.3,4.3,4.7,4.4,4.4,4.3,4.1,4.2,4.9,4.4,4.3,4.4,4.3,4.3,4.6,4.1,4.0,Somewhat high
"Toprac, Paul K",C S354S,Fall 2017,Computer Science,4.2,4.3,4.5,4.4,4.4,4.6,3.7,4.2,4.3,4.6,4.3,4.4,4.7,4.4,4.5,4.2,4.2,4.3,4.5,4.3,4.5,4.0,4.0,4.2,4.6,4.3,4.4,4.2,4.2,4.3,4.5,4.1,4.1,Somewhat high
"Toprac, Paul K",C S354S,Fall 2018,Computer Science,4.2,4.5,4.5,4.7,4.6,4.6,4.0,4.3,4.3,4.8,4.4,4.5,4.8,4.5,4.5,4.1,4.3,4.3,4.6,4.4,4.5,4.2,4.1,4.2,4.6,4.4,4.4,4.2,4.3,4.3,4.4,4.1,4.1,Somewhat high
"Toprac, Paul K",C S354T,Spring 2015,Computer Science,4.6,4.2,4.4,4.6,4.3,4.6,4.6,4.1,4.3,4.9,4.2,4.4,4.8,4.4,4.5,4.4,4.1,4.3,4.8,4.4,4.5,4.5,4.0,4.2,4.9,4.2,4.3,4.8,4.1,4.3,4.9,3.9,4.0,Somewhat high
"Toprac, Paul K",C S354T,Spring 2016,Computer Science,4.3,4.3,4.5,4.2,4.4,4.6,3.9,4.2,4.4,4.8,4.3,4.4,4.5,4.4,4.5,3.9,4.2,4.3,4.7,4.4,4.5,3.9,4.0,4.2,4.7,4.3,4.4,4.2,4.2,4.3,4.5,4.0,4.1,Somewhat high
"Toprac, Paul K",C S354T,Spring 2017,Computer Science,4.2,4.4,4.5,3.7,4.5,4.6,3.7,4.2,4.4,4.6,4.3,4.4,4.0,4.4,4.5,3.8,4.2,4.4,4.2,4.4,4.5,3.6,4.0,4.2,4.2,4.3,4.4,3.7,4.2,4.3,4.1,4.0,4.1,About right
"Toprac, Paul K",C S354T,Spring 2018,Computer Science,4.4,4.4,4.5,4.3,4.5,4.6,4.1,4.3,4.4,4.6,4.4,4.5,4.5,4.4,4.5,4.1,4.2,4.3,4.6,4.4,4.5,4.0,4.0,4.2,4.7,4.3,4.4,4.3,4.3,4.3,4.4,4.0,4.1,Somewhat high
"Toprac, Paul K",C S354T,Spring 2019,Computer Science,4.6,4.4,4.5,4.6,4.5,4.6,4.5,4.2,4.4,4.8,4.4,4.5,4.7,4.4,4.6,4.3,4.2,4.4,4.6,4.4,4.5,4.1,4.0,4.3,4.8,4.3,4.4,4.5,4.2,4.4,4.3,4.0,4.1,About right
"Wadia, Kaivan Porus",C S354T,Spring 2015,Computer Science,4.3,4.2,4.4,4.3,4.3,4.6,4.8,4.1,4.3,4.3,4.2,4.4,4.7,4.4,4.5,4.5,4.1,4.3,4.5,4.4,4.5,4.5,4.0,4.2,4.7,4.2,4.3,4.5,4.1,4.3,4.7,3.9,4.0,Somewhat high
"Ali, Muqeet",C S356,Spring 2017,Computer Science,3.8,4.4,4.5,3.8,4.5,4.6,3.7,4.2,4.4,3.4,4.3,4.4,3.8,4.4,4.5,4.0,4.2,4.4,3.9,4.4,4.5,3.8,4.0,4.2,3.8,4.3,4.4,3.6,4.2,4.3,3.7,4.0,4.1,About right
"Ali, Muqeet",C S356,Spring 2017,Computer Science,4.2,4.4,4.5,4.2,4.5,4.6,4.2,4.2,4.4,4.0,4.3,4.4,4.3,4.4,4.5,4.3,4.2,4.4,4.2,4.4,4.5,3.7,4.0,4.2,4.0,4.3,4.4,3.9,4.2,4.3,4.0,4.0,4.1,About right
"Bryan, David A",C S356,Fall 2015,Computer Science,4.6,4.3,4.4,4.8,4.4,4.5,4.6,4.2,4.3,4.2,4.3,4.4,4.6,4.4,4.5,4.6,4.1,4.3,4.7,4.4,4.4,4.4,4.0,4.2,4.2,4.3,4.3,4.6,4.2,4.3,4.1,4.0,4.0,About right
"Bryan, David A",C S356,Spring 2016,Computer Science,4.8,4.3,4.5,4.9,4.4,4.6,4.8,4.2,4.4,4.5,4.3,4.4,4.9,4.4,4.5,4.9,4.2,4.3,4.8,4.4,4.5,4.6,4.0,4.2,4.7,4.3,4.4,4.8,4.2,4.3,4.6,4.0,4.1,About right
"Bryan, David A",C S356,Fall 2016,Computer Science,4.8,4.4,4.4,4.8,4.5,4.6,4.8,4.3,4.3,4.1,4.3,4.4,4.7,4.4,4.5,4.7,4.3,4.3,4.6,4.4,4.4,4.3,4.1,4.2,4.4,4.4,4.3,4.6,4.3,4.3,4.1,4.1,4.0,About right
"Coffman-Wolph, Stephany S",C S356,Fall 2018,Computer Science,4.4,4.5,4.5,4.4,4.6,4.6,4.0,4.3,4.3,4.5,4.4,4.5,4.7,4.5,4.5,3.8,4.3,4.3,4.6,4.4,4.5,4.2,4.1,4.2,4.1,4.4,4.4,4.5,4.3,4.3,4.4,4.1,4.1,About right
"Coffman-Wolph, Stephany S",C S356,Summer 2019,Computer Science,4.8,4.6,4.6,4.6,4.7,4.7,4.5,4.6,4.5,4.8,4.8,4.6,4.9,4.6,4.6,4.2,4.4,4.5,4.8,4.7,4.6,4.4,4.2,4.4,4.5,4.7,4.5,4.7,4.7,4.5,4.6,4.4,4.3,About right
"Gouda, Mohamed G",C S356,Spring 2017,Computer Science,4.3,4.4,4.5,4.5,4.5,4.6,4.0,4.2,4.4,3.9,4.3,4.4,4.1,4.4,4.5,4.1,4.2,4.4,4.2,4.4,4.5,3.5,4.0,4.2,3.8,4.3,4.4,3.9,4.2,4.3,3.8,4.0,4.1,About right
"Gouda, Mohamed G",C S356,Spring 2017,Computer Science,4.4,4.4,4.5,4.4,4.5,4.6,4.1,4.2,4.4,3.8,4.3,4.4,4.3,4.4,4.5,4.4,4.2,4.4,4.3,4.4,4.5,3.4,4.0,4.2,3.8,4.3,4.4,4.1,4.2,4.3,3.9,4.0,4.1,Somewhat light
"Gouda, Mohamed G",C S356,Spring 2018,Computer Science,4.6,4.4,4.5,4.6,4.5,4.6,4.2,4.3,4.4,4.1,4.4,4.5,4.5,4.4,4.5,4.3,4.2,4.3,4.5,4.4,4.5,4.1,4.0,4.2,4.2,4.3,4.4,4.1,4.3,4.3,3.9,4.0,4.1,About right
"Gouda, Mohamed G",C S356,Spring 2018,Computer Science,4.4,4.4,4.5,4.6,4.5,4.6,4.2,4.3,4.4,4.1,4.4,4.5,4.4,4.4,4.5,4.3,4.2,4.3,4.3,4.4,4.5,4.2,4.0,4.2,4.1,4.3,4.4,4.1,4.3,4.3,3.9,4.0,4.1,About right
"Gouda, Mohamed G",C S356,Spring 2019,Computer Science,4.6,4.4,4.5,4.5,4.5,4.6,4.2,4.2,4.4,4.0,4.4,4.5,4.4,4.4,4.6,4.6,4.2,4.4,4.5,4.4,4.5,4.1,4.0,4.3,4.0,4.3,4.4,4.2,4.2,4.4,3.9,4.0,4.1,About right
"Gouda, Mohamed G",C S356,Spring 2019,Computer Science,4.6,4.4,4.5,4.5,4.5,4.6,4.2,4.2,4.4,4.1,4.4,4.5,4.4,4.4,4.6,4.6,4.2,4.4,4.5,4.4,4.5,4.4,4.0,4.3,4.1,4.3,4.4,4.3,4.2,4.4,4.1,4.0,4.1,About right
"Lam, Simon S",C S356,Spring 2016,Computer Science,4.5,4.3,4.5,4.6,4.4,4.6,4.1,4.2,4.4,4.1,4.3,4.4,4.2,4.4,4.5,4.5,4.2,4.3,4.2,4.4,4.5,4.3,4.0,4.2,4.1,4.3,4.4,3.9,4.2,4.3,4.1,4.0,4.1,About right
"Lam, Simon S",C S356,Fall 2016,Computer Science,4.5,4.4,4.4,4.8,4.5,4.6,4.2,4.3,4.3,4.1,4.3,4.4,4.4,4.4,4.5,4.5,4.3,4.3,4.6,4.4,4.4,3.9,4.1,4.2,4.1,4.4,4.3,4.3,4.3,4.3,4.0,4.1,4.0,About right
"Lam, Simon S",C S356,Fall 2017,Computer Science,4.6,4.3,4.5,4.8,4.4,4.6,4.1,4.2,4.3,4.0,4.3,4.4,4.2,4.4,4.5,4.6,4.2,4.3,4.7,4.3,4.5,4.3,4.0,4.2,4.4,4.3,4.4,4.1,4.2,4.3,4.1,4.1,4.1,About right
"Rozner, Eric J",C S356,Spring 2015,Computer Science,4.3,4.2,4.4,4.3,4.3,4.6,4.1,4.1,4.3,4.3,4.2,4.4,4.4,4.4,4.5,4.0,4.1,4.3,4.4,4.4,4.5,4.0,4.0,4.2,4.2,4.2,4.3,4.1,4.1,4.3,3.9,3.9,4.0,About right
"Qiu, Lili",C S356R,Spring 2015,Computer Science,4.0,4.2,4.4,4.4,4.3,4.6,3.5,4.1,4.3,3.7,4.2,4.4,4.2,4.4,4.5,4.1,4.1,4.3,4.3,4.4,4.5,3.7,4.0,4.2,3.8,4.2,4.3,3.6,4.1,4.3,3.3,3.9,4.0,About right
"Qiu, Lili",C S356R,Fall 2015,Computer Science,4.1,4.3,4.4,4.4,4.4,4.5,3.7,4.2,4.3,4.1,4.3,4.4,4.0,4.4,4.5,4.1,4.1,4.3,4.3,4.4,4.4,3.7,4.0,4.2,3.9,4.3,4.3,3.9,4.2,4.3,3.6,4.0,4.0,About right
"Qiu, Lili",C S356R,Spring 2017,Computer Science,3.9,4.4,4.5,4.2,4.5,4.6,3.3,4.2,4.4,3.7,4.3,4.4,3.9,4.4,4.5,3.8,4.2,4.4,4.2,4.4,4.5,3.4,4.0,4.2,3.7,4.3,4.4,3.4,4.2,4.3,3.2,4.0,4.1,About right
"Qiu, Lili",C S356R,Fall 2017,Computer Science,3.9,4.3,4.5,4.3,4.4,4.6,3.3,4.2,4.3,3.7,4.3,4.4,4.1,4.4,4.5,3.8,4.2,4.3,4.1,4.3,4.5,3.2,4.0,4.2,3.9,4.3,4.4,3.4,4.2,4.3,3.3,4.1,4.1,About right
"Qiu, Lili",C S356R,Fall 2018,Computer Science,3.9,4.5,4.5,4.2,4.6,4.6,3.4,4.3,4.3,3.5,4.4,4.5,4.3,4.5,4.5,3.9,4.3,4.3,4.2,4.4,4.5,3.5,4.1,4.2,3.8,4.4,4.4,3.5,4.3,4.3,3.3,4.1,4.1,About right
"Coffman-Wolph, Stephany S",C S361,Fall 2017,Computer Science,3.9,4.3,4.5,3.7,4.4,4.6,4.1,4.2,4.3,4.3,4.3,4.4,4.6,4.4,4.5,3.3,4.2,4.3,4.8,4.3,4.5,3.9,4.0,4.2,3.7,4.3,4.4,4.0,4.2,4.3,3.7,4.1,4.1,Somewhat light
"Coffman-Wolph, Stephany S",C S361,Spring 2018,Computer Science,2.9,4.4,4.5,2.9,4.5,4.6,3.1,4.3,4.4,3.9,4.4,4.5,3.9,4.4,4.5,2.2,4.2,4.3,4.3,4.4,4.5,3.1,4.0,4.2,2.6,4.3,4.4,2.6,4.3,4.3,2.5,4.0,4.1,About right
"Coffman-Wolph, Stephany S",C S361,Fall 2018,Computer Science,4.3,4.5,4.5,4.1,4.6,4.6,4.1,4.3,4.3,4.3,4.4,4.5,4.6,4.5,4.5,3.9,4.3,4.3,4.4,4.4,4.5,3.8,4.1,4.2,3.8,4.4,4.4,4.0,4.3,4.3,3.9,4.1,4.1,About right
"Coffman-Wolph, Stephany S",C S361,Spring 2019,Computer Science,4.4,4.4,4.5,4.1,4.5,4.6,4.3,4.2,4.4,4.3,4.4,4.5,4.5,4.4,4.6,3.9,4.2,4.4,4.5,4.4,4.5,4.2,4.0,4.3,4.0,4.3,4.4,4.2,4.2,4.4,4.1,4.0,4.1,About right
"Tesauro, Matthew A",C S361,Fall 2015,Computer Science,4.0,4.3,4.4,4.0,4.4,4.5,3.8,4.2,4.3,4.2,4.3,4.4,4.5,4.4,4.5,3.4,4.1,4.3,4.2,4.4,4.4,3.7,4.0,4.2,3.9,4.3,4.3,4.0,4.2,4.3,3.9,4.0,4.0,About right
"Young, William D",C S361,Summer 2015,Computer Science,4.6,4.6,4.5,4.7,4.7,4.6,4.7,4.6,4.5,4.5,4.6,4.5,4.5,4.6,4.6,4.6,4.6,4.4,4.5,4.6,4.6,4.5,4.3,4.3,4.5,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.2,About right
"Young, William D",C S361,Spring 2016,Computer Science,4.6,4.3,4.5,4.5,4.4,4.6,4.5,4.2,4.4,4.5,4.3,4.4,4.7,4.4,4.5,4.5,4.2,4.3,4.7,4.4,4.5,4.4,4.0,4.2,4.5,4.3,4.4,4.6,4.2,4.3,4.4,4.0,4.1,About right
"Young, William D",C S361,Summer 2016,Computer Science,4.6,4.6,4.5,4.6,4.7,4.6,4.4,4.6,4.4,4.4,4.6,4.5,4.5,4.6,4.6,4.5,4.5,4.4,4.5,4.6,4.5,4.4,4.3,4.3,4.4,4.6,4.5,4.5,4.6,4.4,4.3,4.4,4.2,About right
"Young, William D",C S361,Spring 2017,Computer Science,4.7,4.4,4.5,4.8,4.5,4.6,4.6,4.2,4.4,4.4,4.3,4.4,4.6,4.4,4.5,4.6,4.2,4.4,4.7,4.4,4.5,4.4,4.0,4.2,4.4,4.3,4.4,4.6,4.2,4.3,4.4,4.0,4.1,About right
"Young, William D",C S361,Summer 2017,Computer Science,4.8,4.7,4.5,4.7,4.8,4.6,4.7,4.7,4.5,4.7,4.6,4.5,4.8,4.7,4.6,4.7,4.7,4.4,4.7,4.7,4.5,4.6,4.4,4.4,4.7,4.6,4.5,4.7,4.6,4.4,4.6,4.5,4.2,About right
"Young, William D",C S361C,Spring 2015,Computer Science,4.5,4.2,4.4,4.5,4.3,4.6,4.4,4.1,4.3,4.4,4.2,4.4,4.5,4.4,4.5,4.2,4.1,4.3,4.7,4.4,4.5,4.0,4.0,4.2,4.0,4.2,4.3,4.5,4.1,4.3,3.9,3.9,4.0,About right
"Beasley, Cam",C S361S,Fall 2016,Computer Science,4.0,4.4,4.4,4.0,4.5,4.6,3.6,4.3,4.3,4.1,4.3,4.4,3.8,4.4,4.5,3.8,4.3,4.3,4.0,4.4,4.4,3.7,4.1,4.2,4.3,4.4,4.3,3.9,4.3,4.3,3.8,4.1,4.0,About right
"Beasley, Cam",C S361S,Spring 2018,Computer Science,3.8,4.4,4.5,3.7,4.5,4.6,3.5,4.3,4.4,3.9,4.4,4.5,3.5,4.4,4.5,3.5,4.2,4.3,3.8,4.4,4.5,3.7,4.0,4.2,3.9,4.3,4.4,3.2,4.3,4.3,3.1,4.0,4.1,Somewhat high
"Beasley, Cam",C S361S,Fall 2018,Computer Science,4.5,4.5,4.5,4.7,4.6,4.6,4.5,4.3,4.3,4.7,4.4,4.5,4.5,4.5,4.5,4.5,4.3,4.3,4.6,4.4,4.5,4.0,4.1,4.2,4.6,4.4,4.4,4.4,4.3,4.3,4.3,4.1,4.1,About right
"Jensen, Oliver C",C S361S,Spring 2015,Computer Science,4.5,4.2,4.4,4.5,4.3,4.6,4.3,4.1,4.3,4.3,4.2,4.4,4.7,4.4,4.5,4.3,4.1,4.3,4.4,4.4,4.5,4.4,4.0,4.2,4.4,4.2,4.3,4.3,4.1,4.3,4.2,3.9,4.0,About right
"Jensen, Oliver C",C S361S,Fall 2015,Computer Science,4.4,4.3,4.4,4.5,4.4,4.5,4.2,4.2,4.3,4.3,4.3,4.4,4.5,4.4,4.5,4.3,4.1,4.3,4.4,4.4,4.4,4.1,4.0,4.2,4.5,4.3,4.3,4.3,4.2,4.3,4.2,4.0,4.0,About right
"Jensen, Oliver C",C S361S,Spring 2016,Computer Science,4.6,4.3,4.5,4.9,4.4,4.6,4.6,4.2,4.4,4.6,4.3,4.4,4.6,4.4,4.5,4.8,4.2,4.3,4.8,4.4,4.5,4.6,4.0,4.2,4.6,4.3,4.4,4.8,4.2,4.3,4.5,4.0,4.1,About right
"Shacham, Hovav",C S361S,Spring 2019,Computer Science,4.3,4.4,4.5,4.6,4.5,4.6,4.2,4.2,4.4,4.6,4.4,4.5,4.3,4.4,4.6,4.0,4.2,4.4,4.3,4.4,4.5,3.9,4.0,4.3,4.6,4.3,4.4,4.1,4.2,4.4,4.0,4.0,4.1,Somewhat high
"Beasley, Angela Chappell",C S363D,Fall 2017,Computer Science,4.6,4.3,4.5,4.3,4.4,4.6,4.4,4.2,4.3,4.5,4.3,4.4,4.7,4.4,4.5,4.5,4.2,4.3,4.7,4.3,4.5,4.2,4.0,4.2,4.6,4.3,4.4,4.5,4.2,4.3,4.5,4.1,4.1,About right
"Beasley, Angela Chappell",C S363D,Spring 2018,Computer Science,4.5,4.4,4.5,4.6,4.5,4.6,4.4,4.3,4.4,4.4,4.4,4.5,4.6,4.4,4.5,4.4,4.2,4.3,4.5,4.4,4.5,4.0,4.0,4.2,4.6,4.3,4.4,4.4,4.3,4.3,4.4,4.0,4.1,About right
"Beasley, Angela Chappell",C S363D,Fall 2018,Computer Science,4.6,4.5,4.5,4.6,4.6,4.6,4.4,4.3,4.3,4.3,4.4,4.5,4.7,4.5,4.5,4.6,4.3,4.3,4.6,4.4,4.5,4.0,4.1,4.2,4.6,4.4,4.4,4.5,4.3,4.3,4.5,4.1,4.1,About right
"Beasley, Angela Chappell",C S363D,Spring 2019,Computer Science,4.8,4.4,4.5,4.8,4.5,4.6,4.7,4.2,4.4,4.6,4.4,4.5,4.7,4.4,4.6,4.7,4.2,4.4,4.7,4.4,4.5,4.2,4.0,4.3,4.6,4.3,4.4,4.6,4.2,4.4,4.6,4.0,4.1,About right
"Klivans, Adam R",C S363D,Spring 2016,Computer Science,3.8,4.3,4.5,4.1,4.4,4.6,3.5,4.2,4.4,4.1,4.3,4.4,4.3,4.4,4.5,3.3,4.2,4.3,3.7,4.4,4.5,3.2,4.0,4.2,4.0,4.3,4.4,3.7,4.2,4.3,3.5,4.0,4.1,About right
"Liu, Qiang",C S363D,Fall 2018,Computer Science,4.1,4.5,4.5,4.7,4.6,4.6,4.3,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.5,3.7,4.3,4.3,4.7,4.4,4.5,4.0,4.1,4.2,4.6,4.4,4.4,4.0,4.3,4.3,4.1,4.1,4.1,About right
"Ravikumar, Pradeep",C S363D,Spring 2015,Computer Science,4.3,4.2,4.4,4.4,4.3,4.6,4.0,4.1,4.3,3.6,4.2,4.4,4.2,4.4,4.5,3.9,4.1,4.3,4.2,4.4,4.5,4.0,4.0,4.2,3.7,4.2,4.3,3.8,4.1,4.3,3.5,3.9,4.0,About right
"Downing, Glenn P",C S371G,Summer 2016,Computer Science,4.5,4.6,4.5,4.8,4.7,4.6,4.8,4.6,4.4,4.7,4.6,4.5,4.8,4.6,4.6,4.6,4.5,4.4,4.8,4.6,4.5,4.1,4.3,4.3,4.6,4.6,4.5,4.7,4.6,4.4,4.5,4.4,4.2,About right
"Downing, Glenn P",C S371G,Summer 2017,Computer Science,4.8,4.7,4.5,4.9,4.8,4.6,5.0,4.7,4.5,4.9,4.6,4.5,4.8,4.7,4.6,4.9,4.7,4.4,4.9,4.7,4.5,4.3,4.4,4.4,4.9,4.6,4.5,5.0,4.6,4.4,5.0,4.5,4.2,About right
"Bulko, William C",C S371L,Spring 2018,Computer Science,4.6,4.4,4.5,4.1,4.5,4.6,4.3,4.3,4.4,4.7,4.4,4.5,4.6,4.4,4.5,4.3,4.2,4.3,4.5,4.4,4.5,4.0,4.0,4.2,4.3,4.3,4.4,4.2,4.3,4.3,4.0,4.0,4.1,About right
"Bulko, William C",C S371L,Summer 2018,Computer Science,4.9,4.6,4.6,4.6,4.7,4.6,4.8,4.6,4.5,4.8,4.7,4.6,4.7,4.6,4.6,4.8,4.5,4.5,4.7,4.6,4.6,4.9,4.3,4.4,4.8,4.6,4.5,4.8,4.7,4.5,4.7,4.4,4.2,About right
"Bulko, William C",C S371L,Spring 2019,Computer Science,4.6,4.4,4.5,4.5,4.5,4.6,4.7,4.2,4.4,4.7,4.4,4.5,4.6,4.4,4.6,4.7,4.2,4.4,4.7,4.4,4.5,4.4,4.0,4.3,4.6,4.3,4.4,4.7,4.2,4.4,4.6,4.0,4.1,About right
"Bulko, William C",C S371L,Summer 2019,Computer Science,4.8,4.6,4.6,4.6,4.7,4.7,4.7,4.6,4.5,4.6,4.8,4.6,4.8,4.6,4.6,4.7,4.4,4.5,4.6,4.7,4.6,4.5,4.2,4.4,4.7,4.7,4.5,4.8,4.7,4.5,4.7,4.4,4.3,About right
"Scott, Michael D",C S371M,Spring 2015,Computer Science,4.8,4.2,4.4,4.9,4.3,4.6,4.8,4.1,4.3,4.7,4.2,4.4,4.8,4.4,4.5,4.7,4.1,4.3,4.7,4.4,4.5,4.3,4.0,4.2,4.6,4.2,4.3,4.8,4.1,4.3,4.6,3.9,4.0,About right
"Scott, Michael D",C S371M,Spring 2016,Computer Science,4.6,4.3,4.5,4.7,4.4,4.6,4.6,4.2,4.4,4.5,4.3,4.4,4.6,4.4,4.5,4.5,4.2,4.3,4.6,4.4,4.5,4.3,4.0,4.2,4.4,4.3,4.4,4.7,4.2,4.3,4.4,4.0,4.1,About right
"Scott, Michael D",C S371M,Summer 2016,Computer Science,5.0,4.6,4.5,4.9,4.7,4.6,5.0,4.6,4.4,4.9,4.6,4.5,4.9,4.6,4.6,4.8,4.5,4.4,5.0,4.6,4.5,4.8,4.3,4.3,4.8,4.6,4.5,4.9,4.6,4.4,4.9,4.4,4.2,About right
"Scott, Michael D",C S371M,Spring 2017,Computer Science,4.8,4.4,4.5,4.9,4.5,4.6,4.9,4.2,4.4,4.8,4.3,4.4,4.8,4.4,4.5,4.6,4.2,4.4,4.8,4.4,4.5,4.4,4.0,4.2,4.5,4.3,4.4,4.9,4.2,4.3,4.5,4.0,4.1,About right
"Scott, Michael D",C S371M,Summer 2017,Computer Science,4.8,4.7,4.5,4.9,4.8,4.6,4.8,4.7,4.5,4.7,4.6,4.5,4.8,4.7,4.6,4.7,4.7,4.4,4.9,4.7,4.5,4.4,4.4,4.4,4.6,4.6,4.5,4.9,4.6,4.4,4.5,4.5,4.2,About right
"Witchel, Emmett",C S371M,Fall 2015,Computer Science,4.3,4.3,4.4,3.9,4.4,4.5,4.1,4.2,4.3,4.5,4.3,4.4,4.7,4.4,4.5,3.9,4.1,4.3,4.6,4.4,4.4,4.1,4.0,4.2,4.5,4.3,4.3,4.3,4.2,4.3,4.2,4.0,4.0,About right
"Witchel, Emmett",C S371M,Fall 2016,Computer Science,4.1,4.4,4.4,4.2,4.5,4.6,4.0,4.3,4.3,4.3,4.3,4.4,4.4,4.4,4.5,3.7,4.3,4.3,4.1,4.4,4.4,3.9,4.1,4.2,4.3,4.4,4.3,3.7,4.3,4.3,3.5,4.1,4.0,About right
"Witchel, Emmett",C S371M,Fall 2016,Computer Science,4.3,4.4,4.4,4.4,4.5,4.6,4.4,4.3,4.3,4.6,4.3,4.4,4.5,4.4,4.5,4.3,4.3,4.3,4.6,4.4,4.4,4.4,4.1,4.2,4.6,4.4,4.3,4.5,4.3,4.3,4.3,4.1,4.0,About right
"Witchel, Emmett",C S371M,Spring 2018,Computer Science,4.2,4.4,4.5,4.3,4.5,4.6,4.1,4.3,4.4,4.6,4.4,4.5,4.3,4.4,4.5,4.1,4.2,4.3,4.3,4.4,4.5,3.8,4.0,4.2,4.4,4.3,4.4,4.4,4.3,4.3,4.2,4.0,4.1,About right
"Witchel, Emmett",C S371M,Fall 2018,Computer Science,3.5,4.5,4.5,3.6,4.6,4.6,3.5,4.3,4.3,4.5,4.4,4.5,4.3,4.5,4.5,3.3,4.3,4.3,3.8,4.4,4.5,3.7,4.1,4.2,4.1,4.4,4.4,3.4,4.3,4.3,3.5,4.1,4.1,About right
"Downing, Glenn P",C S371P,Spring 2015,Computer Science,4.6,4.2,4.4,4.9,4.3,4.6,4.8,4.1,4.3,4.7,4.2,4.4,4.7,4.4,4.5,4.7,4.1,4.3,4.5,4.4,4.5,4.2,4.0,4.2,4.7,4.2,4.3,4.8,4.1,4.3,4.5,3.9,4.0,About right
"Downing, Glenn P",C S371P,Fall 2015,Computer Science,4.5,4.3,4.4,4.9,4.4,4.5,4.6,4.2,4.3,4.5,4.3,4.4,4.4,4.4,4.5,4.6,4.1,4.3,4.4,4.4,4.4,4.1,4.0,4.2,4.5,4.3,4.3,4.6,4.2,4.3,4.3,4.0,4.0,Somewhat high
"Downing, Glenn P",C S371P,Fall 2015,Computer Science,4.6,4.3,4.4,4.8,4.4,4.5,4.7,4.2,4.3,4.7,4.3,4.4,4.6,4.4,4.5,4.6,4.1,4.3,4.5,4.4,4.4,3.9,4.0,4.2,4.4,4.3,4.3,4.7,4.2,4.3,4.3,4.0,4.0,About right
"Downing, Glenn P",C S371P,Spring 2016,Computer Science,4.7,4.3,4.5,5.0,4.4,4.6,4.8,4.2,4.4,4.6,4.3,4.4,4.5,4.4,4.5,4.8,4.2,4.3,4.6,4.4,4.5,4.1,4.0,4.2,4.5,4.3,4.4,4.7,4.2,4.3,4.5,4.0,4.1,About right
"Downing, Glenn P",C S371P,Fall 2016,Computer Science,4.5,4.4,4.4,4.9,4.5,4.6,4.5,4.3,4.3,4.7,4.3,4.4,4.6,4.4,4.5,4.4,4.3,4.3,4.4,4.4,4.4,3.9,4.1,4.2,4.5,4.4,4.3,4.5,4.3,4.3,4.3,4.1,4.0,About right
"Downing, Glenn P",C S371P,Fall 2016,Computer Science,4.5,4.4,4.4,4.9,4.5,4.6,4.6,4.3,4.3,4.6,4.3,4.4,4.5,4.4,4.5,4.3,4.3,4.3,4.6,4.4,4.4,3.8,4.1,4.2,4.4,4.4,4.3,4.6,4.3,4.3,4.3,4.1,4.0,About right
"Downing, Glenn P",C S371P,Spring 2017,Computer Science,4.8,4.4,4.5,4.9,4.5,4.6,4.8,4.2,4.4,4.7,4.3,4.4,4.7,4.4,4.5,4.7,4.2,4.4,4.5,4.4,4.5,4.1,4.0,4.2,4.7,4.3,4.4,4.9,4.2,4.3,4.7,4.0,4.1,About right
"Downing, Glenn P",C S371P,Fall 2017,Computer Science,4.8,4.3,4.5,4.9,4.4,4.6,4.9,4.2,4.3,4.7,4.3,4.4,4.6,4.4,4.5,4.7,4.2,4.3,4.7,4.3,4.5,4.1,4.0,4.2,4.7,4.3,4.4,4.8,4.2,4.3,4.6,4.1,4.1,About right
